Gene_ID	WT.0h.rep1	WT.0h.rep2	WT.0h.rep3	WT.3h.rep1	WT.3h.rep2	WT.3h.rep3	WT.24h.rep1	WT.24h.rep2	WT.24h.rep3
AT1G09993	0.163966952	0.07479584	0.591179406	0.081291547	0.168630768	0	0.767146705	0.852089058	0.809705228
AT2G01080	9.951206189	9.759673924	8.149627948	10.31124423	10.7459674	9.651562117	22.91706743	22.00176684	19.95135419
AT2G01150	14.04006768	12.10967447	9.97121038	17.295058	15.08007502	15.10451648	26.55451521	21.64190336	20.77622869
AT2G01170	6.155737114	5.396294226	5.514131936	6.448779987	5.697745787	5.586650164	30.35893738	30.32057182	25.64038716
AT2G01200	0.083344015	0.050691399	0.028618581	0.110187471	0.171429244	0.205014824	0.577687205	0.078748157	0.027438084
AT2G01300	1.644776686	1.552320229	1.92804787	10.57269858	13.06584364	11.18110197	9.552862909	11.36084881	7.282037509
AT2G01860	4.454552814	5.384818992	6.711118634	11.1528164	11.62493834	13.14910525	12.30219614	19.78189744	18.83542035
AT2G01890	22.35741403	20.42590793	19.02577092	23.07039355	21.54214757	19.80126426	32.01497113	34.10148873	43.14036067
AT2G01930	16.69834116	19.20855124	22.04793409	31.93420357	31.24047757	31.50321795	32.39774586	41.76246391	44.60016796
AT2G02010	5.671391785	5.195204108	6.103551241	6.149302829	5.311082598	5.41992733	10.13921885	10.56482377	8.971217381
AT2G02070	25.84214828	27.27039089	27.69086514	37.7029531	37.33117968	41.75602361	44.49355475	52.36043644	45.55168698
AT2G02080	19.23921548	20.24825294	24.05790646	40.30226419	39.91055011	37.56530697	63.90063506	77.28363794	60.67943272
AT2G02100	183.5985648	158.070728	159.6685737	577.2402603	542.0800637	583.2791914	2771.173654	2959.93858	2856.017119
AT2G02120	26.56980572	21.64609552	30.29982452	32.86586603	39.48038981	36.16084356	417.0501987	487.9875836	456.9008542
AT2G04195	0	0	0	3.056884096	3.434808391	0.812519852	1.335544182	0.485483685	0
AT2G02148	4.869211187	4.909931391	5.834346427	5.33633841	5.982894737	5.565526928	9.778689617	9.685699194	8.605667118
AT2G02180	26.4183676	28.30678752	27.68259759	30.25021639	29.43951518	28.19310076	68.63444239	86.29222014	100.841874
AT2G02220	9.745708951	10.15208818	11.40370666	12.50397029	14.79008778	16.35978483	15.58063255	20.36163015	18.95202121
AT2G02240	0.485005049	0.700599356	0.915972898	0.921747372	0.78976723	0.46869655	0.840435903	2.176736428	1.397119885
AT2G02250	0.180820698	0.247451744	0.13970255	0.627531085	0.139472922	0.238282535	1.409999607	1.665784177	0.625052938
AT2G02300	0.117233901	0.285215464	0.201278272	0.154992617	0.321515892	0.247182244	0.650072108	0.701538548	0.385951362
AT2G02570	36.96952603	35.0207371	33.34990682	35.11583733	31.83820753	33.61985716	62.21821966	63.52854616	66.71254095
AT2G02680	1.039133315	1.022386017	0.776600643	5.818521436	5.238676686	5.004850067	5.105375882	3.426786685	2.958142174
